Name,Title,Organaization,Visit data
 Marillyn Hewson,Chairwoman, President. CEO,Lockheed Martin Aerospace ,['2018-03-22', '2017-06-30', '2017-02-24', '2017-02-23', '2017-01-23']

 Mary Barra,CEO,General Motors Automotive ,['2017-03-15', '2017-04-11', '2017-02-03', '2017-01-24']

 Elon Musk,CEO,Tesla and others Automotive ,[None, '2017-03-08', '2017-02-03', '2017-01-23']

 Andrew Liveris,Chairman and CEO,Dow Chemical Manufacturing ,['2017-03-17', '2017-02-24', '2017-02-23', '2017-01-23']

 Jay Timmons,President and CEO,National Association of Manufacturers Manufacturing ,['2018-04-12', '2017-10-31', '2017-10-06', '2017-09-29', '2017-03-31']

 Ginni Rometty,CEO,IBM Technology ,['2017-06-19', '2017-04-11', '2017-03-17', '2017-02-03']

 Kenneth C Frazier,CEO,Merck Health ,['2017-02-24', '2017-02-23', '2017-01-31']

 Stephen Schwarzman,Chairman and CEO,Blackstone Finance ,['2017-04-11', '2017-04-04', '2017-02-03']

 Daniel Yergin,Co-Founder and Chairman,Cambridge Energy Research Associate Energy ,['2017-06-29', '2017-04-11', '2017-02-03']

 Mark Sutton,Chairman and CEO,International Paper Manufacturing ,['2017-02-24', '2017-02-23', '2017-01-23']

 John Ferriola,Chairman, President and CEO,Nucor Corporation Manufacturing ,['2017-04-20', '2017-02-23', '2017-01-23']

 Mario Longhi,CEO,U.S. Steel Manufacturing ,['2017-04-20', '2017-02-24', '2017-02-23']

 Robert Kraft,CEO,Kraft Group Sports ,['2017-04-19', '2017-03-19', '2017-02-10']

 Mark Fields,Then-President and CEO,Ford Automotive ,['2017-03-15', '2017-02-23', '2017-01-23']

 Ike Perlmutter,CEO,Marvel Entertainment Entertainment ,['2017-04-27', '2017-03-18', '2017-02-07']

 Dennis Muilenburg,CEO,Boeing Aerospace ,['2018-03-14', '2017-06-30', '2017-02-17']

 Christopher Ruddy,CEO,Newsmax Media Media ,['2017-04-08', '2017-03-18', '2017-03-01']

 Rupert Murdoch,Executive Chairman,FOX News Media ,['2017-08-03', '2017-05-04', None]

 Zippy Duvall,President,American Farm Bureau Agriculture ,['2017-10-31', '2017-04-25', '2017-02-28']

 Sergio Marchionne,CEO,Fiat Chrysler Automotive ,['2017-03-15', '2017-01-24']

 Doug McMillon,President and CEO,Walmart Retail ,['2017-04-11', '2017-02-03']

 Mark Weinberger,CEO,Ernst and Young Finance ,['2017-04-11', '2017-02-03']

 Larry Fink,Chairman and CEO,BlackRock Finance ,['2017-04-11', '2017-02-03']

 Jack Welch,Former Chairman and CEO,General Electric Energy ,['2017-04-11', '2017-02-03']

 Paul Atkins,CEO,Patomak Global Partners Finance ,['2017-04-11', '2017-02-03']

 Adebayo Ogunlesi,Chairman and Managing Partner,Global Infrastructure Partners Finance ,['2017-04-11', '2017-02-03']

 Rich Lesser,President and CEO,Boston Consulting Group Finance ,['2017-04-11', '2017-02-03']

 Jim McNerney,Former Chairman, President and CEO,Boeing Aerospace ,['2017-04-11', '2017-02-03']

 Brian Krzanich,CEO,Intel Technology ,['2017-06-19', '2017-02-08']

 Julie Sweet,CEO,Accenture North America Communications/consulting ,['2017-06-19', '2017-02-13']

 Robert Murray,Chairman, President and CEO,Murray Energy Energy ,['2017-03-28', '2017-02-16']

 Jeff Immelt,CEO,General Electric Energy ,['2017-06-22', '2017-02-23']

 Michael Dell,CEO,Dell Technology ,['2017-02-23', '2017-01-23']

 Inge Thulin,CEO, President, Chairman,3M Manufacturing ,['2017-02-24', '2017-02-23']

 Jeff Fettig,Chairman and CEO,Whirlpool Manufacturing ,['2017-02-23', '2017-01-23']

 Wendell Weeks,CEO,Corning, Inc. Manufacturing ,['2017-02-23', '2017-01-23']

 Juan Luciano,Chairman, President and CEO,Archer Daniels Midland Food ,['2017-02-24', '2017-02-23']

 Greg Hayes,Chairman,United Technologies Technology ,['2017-02-24', '2017-02-23']

 Joseph Swedish,Chairman, President and CEO,Anthem Health ,['2017-03-14', '2017-02-27']

 Rob Nichols,CEO,ABA Finance ,['2017-10-31', '2017-03-09']

 Cam Fine,President and CEO,ICBA Finance ,['2017-05-01', '2017-03-09']

 Joe Kaeser,CEO,Siemens AG Manufacturing ,['2017-03-17']

 Tim Cook,CEO,Apple Technology ,['2017-05-30']

